fid,ID,LIVE,MAKE,SHOP,y2,p_land,mh01,mh02,mh03,mh04,mh06,mh07,ALAND
20843,52371344992,,,,46073,46073,,,,1,,,1
20844,52371344993,,,,45901,45901,,,,,,,1
20845,52371344994,,,,45735,45735,,,,,,,0
20846,52371344995,,,,45694,45694,,,,,,,0
20847,52371344996,,,,45621,45621,,,,,,,1
20848,52371344997,,,,45514,45514,,,,,,,1
20849,52371344998,,,,45375,45375,,,,,,,1
20850,52371344999,,,,45205,45205,,,,,,,1
20851,52371345990,,,,45005,45005,,,,,,,1
20852,52371354901,,,,45541,45541,,,,1,,,1
20853,52371354902,,,,45360,45360,,,,,,,0
20854,52371354903,,,,45196,45196,,,,,,,1
20855,52371354904,,,,45017,45017,,,,,,,1
20856,52371354905,,,,44979,44979,,,,,,,1
20857,52371354906,,,,44908,44908,,,,,,,1
20858,52371354907,,,,44806,44806,,,,,,,0
20859,52371354908,,,,44674,44674,,,,,,,0
20860,52371354909,,,,44511,44511,,,,,,,1
20861,52371355900,,,,44319,44319,,,,,,,1
20862,52371345911,,,,50482,50482,,,,,,,1
20863,52371345912,,,,50111,50111,,,,,,,1
20864,52371345913,,,,49705,49705,,,,,,,1
20865,52371345914,,,,49268,49268,,,,,,,1
20866,52371345915,,,,48801,48801,,,,,,,1
20867,52371345916,,,,48309,48309,,,,,,,1
20868,52371345917,,,,47794,47794,,,,,,,1
20869,52371345918,,,,47258,47258,,,,,,,1
20870,52371345919,,,,46704,46704,,,,,,,1
20871,52371346910,,,,46135,46135,,,,,,,1
20872,52371345921,,,,49741,49741,,,,,,,1
20873,52371345922,,,,49387,49387,,,,,,,1
20874,52371345923,,,,49000,49000,,,,,,,1
20875,52371345924,,,,48582,48582,,,,,,,1
20876,52371345925,,,,48136,48136,,,,,,,1
20877,52371345926,,,,47664,47664,,,,,,,0
20878,52371345927,,,,47170,47170,,,,,,,1
20879,52371345928,,,,46655,46655,,,,,,,1
